Epoch,IR@1,IR@5,IR@10,TR@1,TR@5,TR@10,mR,Path
25,1.99115044,9.38053097,16.4159292,1.7699115,9.51327434,14.38053097,8.90855457,2026-03-14_09-40-05
25,1.99115044,9.38053097,16.4159292,1.7699115,9.51327434,14.38053097,8.90855457,2026-03-14_10-45-18
26,2.12389381,9.20353982,16.10619469,2.21238938,8.40707965,15.04424779,8.84955752,2026-03-14_09-40-05
26,2.12389381,9.20353982,16.10619469,2.21238938,8.40707965,15.04424779,8.84955752,2026-03-14_10-45-18
28,2.16814159,9.73451327,16.15044248,1.99115044,8.18584071,14.60176991,8.80530973,2026-03-14_09-40-05
29,2.07964602,9.07079646,16.23893805,2.21238938,8.84955752,14.38053097,8.80530973,2026-03-14_09-40-05
28,2.16814159,9.73451327,16.15044248,1.99115044,8.18584071,14.60176991,8.80530973,2026-03-14_10-45-18
29,2.07964602,9.07079646,16.23893805,2.21238938,8.84955752,14.38053097,8.80530973,2026-03-14_10-45-18
27,1.99115044,9.02654867,16.0619469,2.21238938,9.07079646,14.15929204,8.75368732,2026-03-14_09-40-05
27,1.99115044,9.02654867,16.0619469,2.21238938,9.07079646,14.15929204,8.75368732,2026-03-14_10-45-18
